AreaKey,TotPop90,PopWhite,PopBlack,PopNatAm,PopAsPac,PopOther
352100,2181,1871,65,12,146,87
352200,1662,1448,57,7,75,75
352300,1937,1813,73,0,43,8
352400,2094,778,928,13,134,241
352500,2650,1461,916,21,72,180
352600,2664,2222,242,9,72,119
352700,2197,1747,299,9,120,22
352800,2441,1893,341,0,118,89
352900,2499,2214,41,0,244,0
353000,3656,2639,685,6,221,105
353100,7123,3935,848,41,2035,264
353200,2818,2109,370,37,175,127
353300,3472,2690,487,39,207,49
353400,2248,1012,946,16,165,109
353500,2446,1488,768,4,111,75
353600,4716,3925,271,5,467,48
353700,5323,4296,329,8,591,99
353800,4395,3720,211,35,385,44
353900,5481,3938,434,15,917,177
354000,4473,3879,238,5,334,17
354100,2883,2597,119,7,133,27
354200,3110,2954,96,11,41,8
354300,3451,2878,393,9,153,18
354400,1720,1459,191,4,35,31
354500,2447,2225,78,8,118,18
354600,4037,2575,1239,6,186,31
354700,2175,1758,317,0,92,8
354800,1985,1811,81,0,78,15
354900,5046,2655,1726,12,474,179
355000,2472,1998,224,0,234,16
